,Date,User,Tweet
70,2022-08-22 14:02:42+00:00,basket_magazin,"💥 Bringt ausgerechnet die Vertragsverlängerung von #LeBron James nochmal richtig Schwung auf den Trademarket? Alle News im neuen BASKET Update

➡️ https://t.co/0oY8oPuqH0

#NBA #NBATrades #NBANews #Basketball https://t.co/PAWw740Ma0"
71,2022-08-21 22:18:15+00:00,DThornDigital,"#KevinDurant Traded To The #PortlandTrailBlazers For #AnferneeSimmons &amp; #JeramiGrant ‼️ *WOJ ESPN*🤯🤯🤯
👉https://t.co/IGOLzKGv5M👈👀
#blazers #trailblazers #damelillard #damianlillard #kd #nets #kyrieirving #nba #woj #espn #lebron #jaysontatum #nbatrades #nbanews https://t.co/jJ71JakdRP"
72,2022-08-21 18:27:29+00:00,NoCrownPlease,"WOJ BOMB! 🤯

LEBRON AND KYRIE REUNITED: Lebron James traded to NETS!

🔴 LIVE RIGHT NOW:
https://t.co/3baBXJa7Zw

#NBA2K22 #NBA2K #NBA2K23 #2KCommunity #NBATwitter #NBATwitterLive #NBATrades #NBATradeRumors #NBANews #LeBronJames #NBA #NBATrade #Basketball #2KYouTuber #Gameplay https://t.co/pKu5afC4ib"
73,2022-08-20 23:42:34+00:00,ceemoney_8,"@ThNBACentral @ShamsCharania Chicago? No way. Dame really wants a chip, if he was to go anywhere (which is still a big stretch lol) he’d be going to Denver or Philly. #damianlillard #nuggets #76ers #dametime #trailblazers #nbatrades"
74,2022-08-20 00:25:24+00:00,DThornDigital,"#AnthonyDavis Traded To The #Celtics For #JaylenBrown &amp; #AlHorford‼️ **#ESPN #WOJ SHOCKING NEWS**🤯
👉 https://t.co/5qMyCHio9D 👈📺
#bostonceltics #lakers #losangeleslakers #nba #nbanews #nbatrades #trades #nfl #nflpreseason #DeshaunWatson #StephenASmith #lebron #kevindurant https://t.co/bMF55IVMTT"
75,2022-08-19 19:14:57+00:00,StatsFreeSports,"In this video, I discuss and answer an NBA Mailbag question I received a while back. Should the Dallas Mavericks trade for Utah Jazz veteran Mike Conley?  

#NBA #NBANews #NBATrades #NBATradeRumors #DallasMavericks #Mavs #UtahJazz #MikeConley #MarkCuban

https://t.co/vZuNpYfnVK https://t.co/xV2nQEvIW7"
76,2022-08-19 06:07:04+00:00,NickLWeaver,One year w/ a team &amp; @KDTrey5 will request/demand another trade if they don't make it 7 games in the the finals! Shocked he didn't leave his mother's womb 4 months earlier than his 9 month contract! 😂 #KevinDurant #KD #KDTrey5 #NBA #NBATradeRumors #NBATrades #KevinThrowARant
77,2022-08-19 05:58:27+00:00,HoopTalkPodcast,New episode dropped a couple days ago! We share our reactions to all the free agent signings and blockbuster trades that happened in these past few months. #nbaoffseason2022 #nbafreeagency #nbatrades https://t.co/KwBlNywLQj
78,2022-08-19 01:00:01+00:00,sportsbyfry,"Donovan Mitchell and Kevin Durant are the big names on the table, but I'd still like to see these 5 deals come to fruition #NBATrades
https://t.co/giAXBCyTQe"
79,2022-08-18 22:28:08+00:00,DThornDigital,"#KevinDurant Traded To The #Pacers For #BennedictMathurin, #TyreseHaliburton, #MylesTurner &amp; #BuddyHield ‼️🤯 👉https://t.co/nd463l7r3E 👈 👈 #IndianaPacers #Nets #KyrieIrving #LeBron #lakers #DeshaunWatson #nfl #trade #news #sports #nbatrades #podcast #clips #viral https://t.co/zK4Qjl0CeF"
80,2022-08-18 06:54:40+00:00,sportsbyfry,"Donovan Mitchell's name continues to surface in trade rumours, but no deal has been agreed to so far. Where do you want to see the 3x All-Star land before next season tips off? 🤷‍♂️ #NBATrades"
81,2022-08-17 20:20:37+00:00,StratosChouv,"Having LeBron for at least 2 more years, it's time to get the best out of the 2 first round picks... #Lakers #LakeShow #LakersNation #nbatrades #NBATwitter"
